Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Delay,Discount Binned,Discounted Revenue,Profit Margin,Order Month,Order Quarter,Order DayOfWeek,Order Year,Is Holiday Week
Standard Class,Corporate,Yucaipa,California,92399,West,Office Supplies,Art,50.8,5,0.0,13.208,7,No Discount,50.8,0.26,August,3,Thursday,2015,No
Standard Class,Consumer,Newark,Delaware,19711,East,Technology,Phones,377.97,3,0.0,94.4925,6,No Discount,377.97,0.25,November,4,Friday,2015,No
Standard Class,Home Office,Franklin,Tennessee,37064,South,Office Supplies,Storage,720.064,4,0.2,-63.0056,4,11-20%,576.0512,-0.0875,September,3,Tuesday,2015,No
Standard Class,Home Office,Colorado Springs,Colorado,80906,West,Office Supplies,Binders,3.108,2,0.7,-2.1756,4,41-100%,0.9324,-0.7,April,2,Sunday,2016,No
Standard Class,Corporate,Springfield,Missouri,65807,Central,Technology,Copiers,4899.93,7,0.0,2302.9671,6,No Discount,4899.93,0.47,December,4,Thursday,2015,Yes
First Class,Corporate,Columbus,Ohio,43229,East,Office Supplies,Binders,11.76,5,0.7,-7.84,3,41-100%,3.528,-0.666666667,April,2,Sunday,2017,No
Standard Class,Consumer,Akron,Ohio,44312,East,Technology,Accessories,71.976,3,0.2,0.8997,5,11-20%,57.5808,0.0125,February,1,Saturday,2015,No
Standard Class,Corporate,Fort Lauderdale,Florida,33311,South,Technology,Phones,519.68,7,0.2,58.464,5,11-20%,415.744,0.1125,September,3,Saturday,2016,No
Same Day,Home Office,San Francisco,California,94122,West,Office Supplies,Paper,59.94,3,0.0,28.1718,0,No Discount,59.94,0.47,November,4,Monday,2017,No
First Class,Consumer,Manchester,Connecticut,6040,East,Office Supplies,Labels,5.76,2,0.0,2.8224,2,No Discount,5.76,0.49,April,2,Sunday,2017,No
Standard Class,Consumer,San Francisco,California,94109,West,Office Supplies,Fasteners,11.84,8,0.0,5.6832,4,No Discount,11.84,0.48,January,1,Thursday,2017,No
Standard Class,Corporate,San Diego,California,92105,West,Office Supplies,Binders,50.352,3,0.2,17.6232,5,11-20%,40.2816,0.35,April,2,Sunday,2015,No
Second Class,Corporate,New York City,New York,10009,East,Office Supplies,Paper,221.92,4,0.0,106.5216,4,No Discount,221.92,0.48,March,1,Friday,2017,No
First Class,Consumer,Thousand Oaks,California,91360,West,Technology,Phones,15.984,2,0.2,1.1988,2,11-20%,12.7872,0.075,March,1,Sunday,2015,No
Standard Class,Home Office,Normal,Illinois,61761,Central,Furniture,Chairs,366.744,4,0.3,-110.0232,4,21-30%,256.7208,-0.3,March,1,Monday,2015,No
Standard Class,Corporate,San Antonio,Texas,78207,Central,Technology,Accessories,30.08,2,0.2,-5.264,5,11-20%,24.064,-0.175,January,1,Sunday,2016,No
Standard Class,Corporate,Charlotte,North Carolina,28205,South,Office Supplies,Labels,17.544,3,0.2,5.9211,4,11-20%,14.0352,0.3375,August,3,Friday,2014,No
Second Class,Consumer,Thornton,Colorado,80229,West,Furniture,Furnishings,16.72,5,0.2,3.344,3,11-20%,13.376,0.2,December,4,Sunday,2017,No
Standard Class,Consumer,Columbus,Georgia,31907,South,Technology,Phones,2939.93,7,0.0,764.3818,5,No Discount,2939.93,0.26,January,1,Thursday,2017,No
Standard Class,Consumer,San Diego,California,92105,West,Technology,Accessories,595.0,5,0.0,95.2,4,No Discount,595.0,0.16,November,4,Friday,2016,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,3.282,2,0.7,-2.6256,4,41-100%,0.9846,-0.8,May,2,Friday,2014,No
Standard Class,Consumer,Cedar Hill,Texas,75104,Central,Office Supplies,Envelopes,7.08,3,0.2,2.478,4,11-20%,5.664,0.35,November,4,Monday,2014,No
Standard Class,Home Office,Clinton,Maryland,20735,East,Office Supplies,Paper,28.9,5,0.0,14.161,4,No Discount,28.9,0.49,December,4,Sunday,2015,No
Second Class,Home Office,Everett,Massachusetts,2149,East,Furniture,Bookcases,170.98,1,0.0,32.4862,2,No Discount,170.98,0.19,November,4,Friday,2015,Yes
Standard Class,Corporate,Jackson,Michigan,49201,Central,Office Supplies,Labels,196.62,2,0.0,96.3438,5,No Discount,196.62,0.49,November,4,Monday,2014,No
Standard Class,Corporate,Toledo,Ohio,43615,East,Technology,Phones,107.118,3,0.4,-21.4236,5,31-40%,64.2708,-0.2,January,1,Monday,2015,No
Standard Class,Home Office,Houston,Texas,77036,Central,Office Supplies,Binders,16.27,5,0.8,-25.2185,6,41-100%,3.254,-1.55,September,3,Saturday,2015,No
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,2.691,1,No Discount,5.98,0.45,May,2,Wednesday,2016,No
Second Class,Consumer,Dallas,Texas,75220,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668,4,41-100%,13.2568,-2.7,December,4,Sunday,2017,No
Standard Class,Home Office,Seattle,Washington,98105,West,Furniture,Furnishings,22.14,3,0.0,6.4206,4,No Discount,22.14,0.29,March,1,Tuesday,2017,No
Standard Class,Corporate,San Diego,California,92105,West,Furniture,Chairs,885.528,9,0.2,-99.6219,4,11-20%,708.4224,-0.1125,September,3,Sunday,2016,No
Standard Class,Consumer,Aurora,Colorado,80013,West,Office Supplies,Binders,1.08,2,0.7,-0.792,6,41-100%,0.324,-0.733333333,September,3,Monday,2015,No
Standard Class,Consumer,Seattle,Washington,98105,West,Technology,Phones,431.976,3,0.2,26.9985,6,11-20%,345.5808,0.0625,December,4,Tuesday,2016,No
Second Class,Consumer,San Jose,California,95123,West,Technology,Accessories,72.0,4,0.0,12.96,2,No Discount,72.0,0.18,November,4,Saturday,2016,No
First Class,Corporate,Springfield,Virginia,22153,South,Office Supplies,Appliances,826.11,3,0.0,322.1829,3,No Discount,826.11,0.39,November,4,Saturday,2015,No
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,5.68,2,0.0,1.7608,5,No Discount,5.68,0.31,November,4,Monday,2017,No
Standard Class,Corporate,Henderson,Kentucky,42420,South,Office Supplies,Storage,828.84,6,0.0,0.0,5,No Discount,828.84,0.0,April,2,Monday,2014,No
Second Class,Home Office,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,26.38,1,0.0,12.1348,4,No Discount,26.38,0.46,November,4,Monday,2017,No
Standard Class,Consumer,Coon Rapids,Minnesota,55433,Central,Technology,Phones,281.97,3,0.0,78.9516,5,No Discount,281.97,0.28,November,4,Wednesday,2014,No
Standard Class,Consumer,Richmond,Virginia,23223,South,Office Supplies,Storage,177.55,5,0.0,47.9385,4,No Discount,177.55,0.27,September,3,Monday,2017,No
Standard Class,Consumer,Des Moines,Iowa,50315,Central,Furniture,Tables,1184.72,4,0.0,106.6248,5,No Discount,1184.72,0.09,March,1,Friday,2014,No
Standard Class,Consumer,New York City,New York,10011,East,Office Supplies,Storage,17.15,1,0.0,4.6305,5,No Discount,17.15,0.27,December,4,Wednesday,2016,No
Same Day,Consumer,Lakeland,Florida,33801,South,Technology,Phones,55.944,7,0.2,-13.2867,0,11-20%,44.7552,-0.2375,October,4,Friday,2015,No
Standard Class,Consumer,Henderson,Kentucky,42420,South,Office Supplies,Binders,5.8,1,0.0,2.61,7,No Discount,5.8,0.45,February,1,Tuesday,2016,No
Standard Class,Consumer,San Diego,California,92024,West,Furniture,Furnishings,3.48,2,0.0,1.1136,4,No Discount,3.48,0.32,December,4,Friday,2014,No
Same Day,Corporate,Lorain,Ohio,44052,East,Office Supplies,Binders,18.693,3,0.7,-14.3313,0,41-100%,5.6079,-0.766666667,December,4,Monday,2016,No
Standard Class,Home Office,Santa Barbara,California,93101,West,Technology,Accessories,26.96,2,0.0,3.7744,5,No Discount,26.96,0.14,June,2,Monday,2016,No
Second Class,Home Office,Los Angeles,California,90004,West,Office Supplies,Art,11.16,2,0.0,2.79,4,No Discount,11.16,0.25,December,4,Saturday,2017,No
Standard Class,Consumer,Daytona Beach,Florida,32114,South,Office Supplies,Envelopes,27.312,2,0.2,9.2178,6,11-20%,21.8496,0.3375,December,4,Monday,2015,No
Standard Class,Consumer,New York City,New York,10035,East,Technology,Accessories,659.9,2,0.0,217.767,6,No Discount,659.9,0.33,September,3,Thursday,2015,No
Standard Class,Consumer,Tampa,Florida,33614,South,Office Supplies,Binders,38.19,5,0.7,-26.733,5,41-100%,11.457,-0.7,October,4,Friday,2016,No
First Class,Consumer,Houston,Texas,77041,Central,Office Supplies,Paper,36.288,7,0.2,12.7008,3,11-20%,29.0304,0.35,October,4,Friday,2015,No
Standard Class,Consumer,Austin,Texas,78745,Central,Technology,Accessories,22.368,4,0.2,6.4308,4,11-20%,17.8944,0.2875,December,4,Saturday,2015,No
Second Class,Corporate,Marietta,Georgia,30062,South,Furniture,Chairs,182.67,3,0.0,52.9743,3,No Discount,182.67,0.29,November,4,Monday,2016,Yes
Standard Class,Consumer,New York City,New York,10035,East,Office Supplies,Storage,21.36,2,0.0,5.7672,5,No Discount,21.36,0.27,August,3,Sunday,2014,No
Standard Class,Corporate,Camarillo,California,93010,West,Furniture,Chairs,97.568,2,0.2,-6.098,5,11-20%,78.0544,-0.0625,May,2,Thursday,2015,No
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Tables,902.712,3,0.2,33.8517,5,11-20%,722.1696,0.0375,June,2,Saturday,2016,No
Standard Class,Consumer,Nashville,Tennessee,37211,South,Office Supplies,Labels,9.216,4,0.2,3.3408,6,11-20%,7.3728,0.3625,December,4,Friday,2015,Yes
Standard Class,Consumer,Jacksonville,North Carolina,28540,South,Technology,Accessories,22.704,1,0.2,5.9598,6,11-20%,18.1632,0.2625,October,4,Friday,2016,No
Standard Class,Consumer,New York City,New York,10035,East,Furniture,Chairs,858.24,4,0.1,143.04,6,0-10%,772.416,0.166666667,June,2,Monday,2017,No
Standard Class,Home Office,Salem,Oregon,97301,West,Office Supplies,Supplies,6.208,2,0.2,0.6984,5,11-20%,4.9664,0.1125,August,3,Thursday,2017,No
Standard Class,Consumer,Los Angeles,California,90032,West,Furniture,Tables,418.296,3,0.2,5.2287,7,11-20%,334.6368,0.0125,August,3,Monday,2017,No
Standard Class,Consumer,San Antonio,Texas,78207,Central,Furniture,Tables,557.585,5,0.3,0.0,5,21-30%,390.3095,0.0,March,1,Sunday,2016,No
Second Class,Corporate,Vancouver,Washington,98661,West,Technology,Phones,302.376,3,0.2,22.6782,5,11-20%,241.9008,0.075,December,4,Sunday,2016,No
Standard Class,Consumer,Lakeville,Minnesota,55044,Central,Office Supplies,Art,22.0,10,0.0,9.68,7,No Discount,22.0,0.44,November,4,Monday,2017,No
Second Class,Home Office,Columbus,Georgia,31907,South,Furniture,Furnishings,7.04,4,0.0,3.0976,4,No Discount,7.04,0.44,April,2,Friday,2016,No
Standard Class,Home Office,Philadelphia,Pennsylvania,19143,East,Office Supplies,Paper,25.92,5,0.2,9.072,4,11-20%,20.736,0.35,June,2,Sunday,2015,No
Second Class,Consumer,Cleveland,Ohio,44105,East,Office Supplies,Storage,118.16,2,0.2,-25.109,5,11-20%,94.528,-0.2125,December,4,Saturday,2014,No
Standard Class,Consumer,Madison,Wisconsin,53711,Central,Office Supplies,Appliances,1089.75,3,0.0,305.13,5,No Discount,1089.75,0.28,December,4,Friday,2017,No
Second Class,Consumer,Grove City,Ohio,43123,East,Office Supplies,Binders,3.648,2,0.7,-2.7968,3,41-100%,1.0944,-0.766666667,November,4,Tuesday,2017,No
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Fasteners,5.94,3,0.0,0.1188,4,No Discount,5.94,0.02,July,3,Friday,2017,No
Standard Class,Corporate,Columbus,Georgia,31907,South,Office Supplies,Binders,319.9,5,0.0,156.751,5,No Discount,319.9,0.49,November,4,Saturday,2014,No
Standard Class,Corporate,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,6,No Discount,15.26,0.41,December,4,Sunday,2016,No
First Class,Consumer,Oakland,California,94601,West,Office Supplies,Labels,51.75,5,0.0,24.84,1,No Discount,51.75,0.48,August,3,Monday,2017,No
Standard Class,Consumer,Denver,Colorado,80219,West,Office Supplies,Paper,31.104,6,0.2,10.8864,4,11-20%,24.8832,0.35,August,3,Saturday,2014,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,11.61,2,0.7,-9.288,4,41-100%,3.483,-0.8,November,4,Sunday,2015,No
Standard Class,Consumer,Santa Ana,California,92704,West,Office Supplies,Supplies,21.96,2,0.0,6.1488,6,No Discount,21.96,0.28,September,3,Friday,2017,No
Standard Class,Corporate,Rockford,Illinois,61107,Central,Office Supplies,Paper,38.016,6,0.2,13.7808,4,11-20%,30.4128,0.3625,May,2,Friday,2017,No
Standard Class,Corporate,Vancouver,Washington,98661,West,Furniture,Furnishings,9.64,2,0.0,3.6632,4,No Discount,9.64,0.38,October,4,Monday,2017,No
Standard Class,Home Office,New Rochelle,New York,10801,East,Office Supplies,Paper,223.92,4,0.0,109.7208,6,No Discount,223.92,0.49,November,4,Tuesday,2014,No
Standard Class,Corporate,Nashville,Tennessee,37211,South,Office Supplies,Binders,31.086,3,0.7,-20.724,5,41-100%,9.3258,-0.666666667,March,1,Saturday,2016,No
Standard Class,Corporate,Monroe,Louisiana,71203,South,Office Supplies,Paper,12.96,2,0.0,6.2208,5,No Discount,12.96,0.48,March,1,Saturday,2016,No
Standard Class,Corporate,New York City,New York,10009,East,Technology,Phones,85.9,2,0.0,2.577,4,No Discount,85.9,0.03,March,1,Monday,2015,No
Standard Class,Corporate,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,24.588,2,0.7,-18.0312,7,41-100%,7.3764,-0.733333333,May,2,Thursday,2015,No
Second Class,Corporate,Los Angeles,California,90032,West,Technology,Phones,119.96,1,0.2,7.4975,4,11-20%,95.968,0.0625,June,2,Thursday,2017,No
Second Class,Home Office,Jacksonville,Florida,32216,South,Furniture,Chairs,1166.92,5,0.2,131.2785,2,11-20%,933.536,0.1125,March,1,Sunday,2015,No
Standard Class,Home Office,Springfield,Ohio,45503,East,Office Supplies,Paper,10.368,2,0.2,3.6288,7,11-20%,8.2944,0.35,November,4,Saturday,2017,No
Standard Class,Consumer,Chicago,Illinois,60623,Central,Office Supplies,Labels,9.248,4,0.2,3.1212,5,11-20%,7.3984,0.3375,July,3,Saturday,2016,No
First Class,Consumer,Houston,Texas,77041,Central,Furniture,Chairs,899.43,5,0.3,-12.849,1,21-30%,629.601,-0.014285714,May,2,Sunday,2017,No
First Class,Corporate,Chicago,Illinois,60653,Central,Office Supplies,Paper,17.76,3,0.2,5.55,2,11-20%,14.208,0.3125,September,3,Monday,2017,Yes
Standard Class,Consumer,Westminster,California,92683,West,Furniture,Furnishings,18.84,3,0.0,7.9128,4,No Discount,18.84,0.42,July,3,Friday,2017,No
Second Class,Consumer,Franklin,Massachusetts,2038,East,Office Supplies,Appliances,901.95,3,0.0,297.6435,5,No Discount,901.95,0.33,December,4,Thursday,2016,No
First Class,Consumer,Dublin,Ohio,43017,East,Office Supplies,Fasteners,5.584,2,0.2,1.8148,3,11-20%,4.4672,0.325,December,4,Thursday,2015,Yes
First Class,Corporate,Fairfield,California,94533,West,Furniture,Furnishings,26.48,1,0.0,10.0624,3,No Discount,26.48,0.38,March,1,Tuesday,2017,No
Standard Class,Corporate,New York City,New York,10009,East,Office Supplies,Binders,12.192,4,0.2,4.1148,4,11-20%,9.7536,0.3375,November,4,Tuesday,2016,No
Standard Class,Consumer,San Francisco,California,94109,West,Office Supplies,Art,59.52,3,0.0,15.4752,4,No Discount,59.52,0.26,September,3,Sunday,2014,No
Standard Class,Consumer,Logan,Utah,84321,West,Technology,Accessories,82.8,12,0.0,6.624,5,No Discount,82.8,0.08,March,1,Friday,2014,No
Standard Class,Corporate,Carlsbad,New Mexico,88220,West,Office Supplies,Art,4.17,3,0.0,1.0842,4,No Discount,4.17,0.26,December,4,Friday,2017,No
Standard Class,Home Office,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,16.448,2,0.2,5.5512,5,11-20%,13.1584,0.3375,December,4,Thursday,2015,No
Standard Class,Corporate,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,4,11-20%,76.4928,0.1,September,3,Tuesday,2017,No
Standard Class,Corporate,Chicago,Illinois,60610,Central,Technology,Phones,508.768,4,0.2,38.1576,5,11-20%,407.0144,0.075,October,4,Tuesday,2017,No
Standard Class,Consumer,San Francisco,California,94122,West,Furniture,Chairs,218.352,3,0.2,0.0,4,11-20%,174.6816,0.0,September,3,Friday,2017,No
First Class,Corporate,Altoona,Pennsylvania,16602,East,Office Supplies,Art,16.032,6,0.2,2.2044,1,11-20%,12.8256,0.1375,February,1,Friday,2015,No
Same Day,Home Office,Seattle,Washington,98105,West,Technology,Phones,7.992,1,0.2,2.6973,0,11-20%,6.3936,0.3375,July,3,Monday,2017,No
Standard Class,Home Office,Los Angeles,California,90032,West,Office Supplies,Art,18.69,7,0.0,5.2332,4,No Discount,18.69,0.28,December,4,Tuesday,2016,No
Standard Class,Home Office,Los Angeles,California,90045,West,Furniture,Furnishings,9.94,2,0.0,3.0814,7,No Discount,9.94,0.31,November,4,Thursday,2016,Yes
Second Class,Consumer,San Francisco,California,94109,West,Technology,Phones,862.344,7,0.2,97.0137,2,11-20%,689.8752,0.1125,June,2,Thursday,2016,No
Standard Class,Consumer,San Francisco,California,94122,West,Office Supplies,Binders,17.856,4,0.2,6.2496,4,11-20%,14.2848,0.35,August,3,Friday,2014,No
Same Day,Consumer,Dallas,Texas,75217,Central,Office Supplies,Storage,54.192,6,0.2,4.0644,0,11-20%,43.3536,0.075,October,4,Monday,2017,No
Second Class,Consumer,Port Orange,Florida,32127,South,Office Supplies,Envelopes,7.824,1,0.2,2.934,2,11-20%,6.2592,0.375,December,4,Friday,2017,No
Standard Class,Consumer,Carrollton,Texas,75007,Central,Technology,Accessories,47.904,1,0.2,-2.994,5,11-20%,38.3232,-0.0625,February,1,Tuesday,2017,No
Second Class,Corporate,Bethlehem,Pennsylvania,18018,East,Furniture,Furnishings,33.568,2,0.2,-5.4548,2,11-20%,26.8544,-0.1625,March,1,Thursday,2015,No
Standard Class,Corporate,New York City,New York,10009,East,Technology,Accessories,238.0,2,0.0,38.08,4,No Discount,238.0,0.16,September,3,Saturday,2017,No
Standard Class,Consumer,Midland,Michigan,48640,Central,Furniture,Chairs,563.94,3,0.0,112.788,6,No Discount,563.94,0.2,November,4,Monday,2014,No
First Class,Consumer,Los Angeles,California,90004,West,Office Supplies,Paper,17.94,3,0.0,8.073,2,No Discount,17.94,0.45,May,2,Sunday,2016,No
Same Day,Home Office,Marietta,Georgia,30062,South,Office Supplies,Paper,58.32,9,0.0,27.9936,0,No Discount,58.32,0.48,April,2,Monday,2014,No
Standard Class,Home Office,Los Angeles,California,90004,West,Furniture,Tables,1004.976,6,0.2,-175.8708,6,11-20%,803.9808,-0.175,August,3,Saturday,2015,No
Standard Class,Home Office,Chicago,Illinois,60653,Central,Furniture,Tables,108.925,1,0.5,-71.8905,4,41-100%,54.4625,-0.66,June,2,Friday,2017,No
Standard Class,Consumer,Long Beach,California,90805,West,Office Supplies,Paper,10.9,5,0.0,5.123,6,No Discount,10.9,0.47,September,3,Sunday,2016,No
Standard Class,Corporate,Wilson,North Carolina,27893,South,Office Supplies,Storage,51.984,1,0.2,-5.1984,5,11-20%,41.5872,-0.1,April,2,Tuesday,2016,No
Standard Class,Consumer,Detroit,Michigan,48227,Central,Office Supplies,Labels,103.6,7,0.0,51.8,6,No Discount,103.6,0.5,September,3,Tuesday,2014,No
Second Class,Corporate,Sunnyvale,California,94086,West,Technology,Accessories,189.95,5,0.0,45.588,4,No Discount,189.95,0.24,December,4,Saturday,2017,No
Same Day,Consumer,Amarillo,Texas,79109,Central,Technology,Accessories,79.512,3,0.2,20.8719,0,11-20%,63.6096,0.2625,October,4,Saturday,2016,No
First Class,Consumer,Houston,Texas,77036,Central,Office Supplies,Binders,3.648,3,0.8,-6.0192,3,41-100%,0.7296,-1.65,September,3,Monday,2014,Yes
Second Class,Consumer,Lake Charles,Louisiana,70601,South,Furniture,Chairs,51.96,2,0.0,12.99,2,No Discount,51.96,0.25,April,2,Tuesday,2014,No
Standard Class,Home Office,Dallas,Texas,75217,Central,Office Supplies,Envelopes,4.464,1,0.2,1.674,7,11-20%,3.5712,0.375,October,4,Thursday,2015,No
Standard Class,Corporate,Carlsbad,New Mexico,88220,West,Office Supplies,Labels,18.45,5,0.0,8.6715,4,No Discount,18.45,0.47,December,4,Friday,2017,No
First Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Storage,15.51,1,0.0,3.8775,2,No Discount,15.51,0.25,September,3,Thursday,2017,No
Standard Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Paper,25.92,4,0.0,12.4416,4,No Discount,25.92,0.48,August,3,Monday,2014,No
Second Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,4,No Discount,14.62,0.47,June,2,Sunday,2016,No
Second Class,Corporate,Warwick,Rhode Island,2886,East,Technology,Accessories,252.0,4,0.0,93.24,2,No Discount,252.0,0.37,July,3,Friday,2017,No
Standard Class,Home Office,Allentown,Pennsylvania,18103,East,Technology,Accessories,21.728,4,0.2,3.8024,4,11-20%,17.3824,0.175,August,3,Friday,2015,No
Standard Class,Corporate,Dallas,Texas,75081,Central,Office Supplies,Supplies,6.976,4,0.2,-1.3952,6,11-20%,5.5808,-0.2,March,1,Thursday,2017,No
Second Class,Consumer,Yonkers,New York,10701,East,Office Supplies,Paper,97.82,2,0.0,45.9754,3,No Discount,97.82,0.47,March,1,Wednesday,2014,No
First Class,Home Office,Los Angeles,California,90008,West,Office Supplies,Paper,14.9,5,0.0,7.152,1,No Discount,14.9,0.48,March,1,Thursday,2016,No
Second Class,Corporate,Los Angeles,California,90036,West,Furniture,Chairs,190.72,1,0.2,11.92,2,11-20%,152.576,0.0625,November,4,Saturday,2015,No
Standard Class,Consumer,Edmonds,Washington,98026,West,Office Supplies,Binders,39.624,3,0.2,13.8684,4,11-20%,31.6992,0.35,September,3,Saturday,2016,No
Standard Class,Corporate,Jacksonville,North Carolina,28540,South,Office Supplies,Labels,5.04,1,0.2,1.638,7,11-20%,4.032,0.325,November,4,Sunday,2015,No
Standard Class,Consumer,New York City,New York,10035,East,Technology,Phones,861.76,4,0.0,249.9104,5,No Discount,861.76,0.29,November,4,Thursday,2015,No
Same Day,Home Office,Roseville,Michigan,48066,Central,Office Supplies,Paper,368.91,9,0.0,180.7659,0,No Discount,368.91,0.49,June,2,Sunday,2016,No
First Class,Corporate,Lakeland,Florida,33801,South,Furniture,Furnishings,48.672,3,0.2,7.3008,1,11-20%,38.9376,0.15,June,2,Thursday,2015,No
Standard Class,Corporate,Carlsbad,New Mexico,88220,West,Office Supplies,Binders,11.416,1,0.2,3.8529,6,11-20%,9.1328,0.3375,December,4,Saturday,2016,No
First Class,Consumer,Oceanside,New York,11572,East,Office Supplies,Labels,6.3,2,0.0,3.024,3,No Discount,6.3,0.48,December,4,Saturday,2016,No
Standard Class,Home Office,Columbus,Ohio,43229,East,Furniture,Chairs,281.372,2,0.3,-12.0588,4,21-30%,196.9604,-0.042857143,April,2,Wednesday,2014,No
Standard Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Art,10.72,2,0.2,1.742,5,11-20%,8.576,0.1625,August,3,Tuesday,2014,No
Second Class,Corporate,San Francisco,California,94109,West,Office Supplies,Storage,676.55,5,0.0,6.7655,3,No Discount,676.55,0.01,March,1,Saturday,2016,No
Standard Class,Consumer,Miami,Florida,33178,South,Office Supplies,Binders,64.2,5,0.7,-42.8,7,41-100%,19.26,-0.666666667,June,2,Tuesday,2015,No
First Class,Consumer,Bowling Green,Kentucky,42104,South,Technology,Accessories,71.0,4,0.0,27.69,3,No Discount,71.0,0.39,December,4,Thursday,2017,No
Standard Class,Consumer,Mesa,Arizona,85204,West,Technology,Phones,87.8,5,0.2,32.925,5,11-20%,70.24,0.375,April,2,Thursday,2015,No
Standard Class,Consumer,Bloomington,Indiana,47401,Central,Office Supplies,Paper,32.4,5,0.0,15.552,5,No Discount,32.4,0.48,April,2,Saturday,2014,No
Standard Class,Consumer,San Diego,California,92024,West,Office Supplies,Binders,50.352,3,0.2,17.6232,4,11-20%,40.2816,0.35,July,3,Friday,2017,No
Standard Class,Consumer,Irving,Texas,75061,Central,Office Supplies,Appliances,58.924,1,0.8,-153.2024,6,41-100%,11.7848,-2.6,August,3,Saturday,2016,No
Standard Class,Consumer,New York City,New York,10011,East,Technology,Phones,299.9,2,0.0,74.975,4,No Discount,299.9,0.25,March,1,Monday,2017,No
First Class,Home Office,New York City,New York,10009,East,Office Supplies,Paper,81.98,2,0.0,40.1702,2,No Discount,81.98,0.49,January,1,Friday,2016,No
Standard Class,Corporate,Lakewood,Ohio,44107,East,Office Supplies,Art,19.728,9,0.2,1.7262,5,11-20%,15.7824,0.0875,December,4,Saturday,2017,No
Standard Class,Home Office,Chester,Pennsylvania,19013,East,Furniture,Furnishings,6.696,1,0.2,0.5022,4,11-20%,5.3568,0.075,March,1,Friday,2017,No
Second Class,Corporate,New York City,New York,10009,East,Technology,Accessories,26.0,2,0.0,11.7,4,No Discount,26.0,0.45,March,1,Friday,2017,No
Standard Class,Corporate,East Point,Georgia,30344,South,Office Supplies,Binders,165.98,1,0.0,74.691,6,No Discount,165.98,0.45,June,2,Tuesday,2015,No
Second Class,Consumer,Meriden,Connecticut,6450,East,Office Supplies,Paper,146.82,3,0.0,73.41,5,No Discount,146.82,0.5,September,3,Saturday,2017,No
Standard Class,Home Office,Sandy Springs,Georgia,30328,South,Office Supplies,Art,12.72,3,0.0,4.9608,4,No Discount,12.72,0.39,September,3,Sunday,2017,No
Standard Class,Consumer,Las Vegas,Nevada,89115,West,Office Supplies,Appliances,64.9,5,0.0,18.821,6,No Discount,64.9,0.29,May,2,Saturday,2017,No
Standard Class,Corporate,Memphis,Tennessee,38109,South,Furniture,Furnishings,20.32,5,0.2,3.556,7,11-20%,16.256,0.175,December,4,Friday,2015,No
First Class,Consumer,Virginia Beach,Virginia,23464,South,Technology,Accessories,89.97,3,0.0,18.8937,2,No Discount,89.97,0.21,November,4,Saturday,2016,No
Standard Class,Corporate,Lafayette,Indiana,47905,Central,Technology,Copiers,17499.95,5,0.0,8399.976,7,No Discount,17499.95,0.48,October,4,Sunday,2016,No
First Class,Consumer,Moreno Valley,California,92553,West,Office Supplies,Storage,41.88,6,0.0,0.8376,3,No Discount,41.88,0.02,September,3,Tuesday,2015,No
Standard Class,Corporate,New York City,New York,10024,East,Office Supplies,Labels,24.9,5,0.0,11.454,7,No Discount,24.9,0.46,October,4,Thursday,2016,No
Second Class,Consumer,Henderson,Kentucky,42420,South,Furniture,Tables,842.94,3,0.0,160.1586,5,No Discount,842.94,0.19,November,4,Thursday,2016,No
First Class,Corporate,Springfield,Virginia,22153,South,Furniture,Tables,1202.94,3,0.0,300.735,2,No Discount,1202.94,0.25,August,3,Wednesday,2014,No
First Class,Corporate,Paterson,New Jersey,7501,East,Office Supplies,Fasteners,6.54,3,0.0,2.1582,2,No Discount,6.54,0.33,December,4,Monday,2017,No
First Class,Home Office,Knoxville,Tennessee,37918,South,Office Supplies,Paper,20.736,4,0.2,7.2576,3,11-20%,16.5888,0.35,October,4,Monday,2017,No
Standard Class,Consumer,Mobile,Alabama,36608,South,Furniture,Tables,801.96,2,0.0,200.49,4,No Discount,801.96,0.25,September,3,Tuesday,2015,No
Second Class,Consumer,Lafayette,Indiana,47905,Central,Office Supplies,Storage,81.4,5,0.0,21.164,4,No Discount,81.4,0.26,March,1,Wednesday,2017,No
